Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/12/01 12:25:00 AM,2018/12/01,00:25,2018,Saturday,2018/12/01 12:28:00 AM,74339603074,743396,180906213,183350077,II,Initial,,03074,Robbery,Robbery - Other,"Robbery, W/ Force",Cite or Arrest Adult,BOSWORTH ST \ DIAMOND ST,21940000,Ingleside,Glen Park,8,37.73355034231799,-122.43414453855247,"(37.73355034231799, -122.43414453855247)"
2018/12/01 12:25:00 AM,2018/12/01,00:25,2018,Saturday,2018/12/01 12:28:00 AM,74339615030,743396,180906213,183350077,II,Initial,,15030,Offences Against The Family And Children,Other,"Minor, Contributing To Delinquency of",Cite or Arrest Adult,BOSWORTH ST \ DIAMOND ST,21940000,Ingleside,Glen Park,8,37.73355034231799,-122.43414453855247,"(37.73355034231799, -122.43414453855247)"
2018/12/01 12:25:00 AM,2018/12/01,00:25,2018,Saturday,2018/12/01 12:28:00 AM,74339626080,743396,180906213,183350077,II,Initial,,26080,Other Miscellaneous,Other,Conspiracy,Cite or Arrest Adult,BOSWORTH ST \ DIAMOND ST,21940000,Ingleside,Glen Park,8,37.73355034231799,-122.43414453855247,"(37.73355034231799, -122.43414453855247)"
2018/12/01 01:50:00 AM,2018/12/01,01:50,2018,Saturday,2018/12/01 01:54:00 AM,74340028100,743400,180906257,183350269,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,ULLOA ST \ 20TH AVE,23171000,Taraval,Sunset/Parkside,4,37.74113822615672,-122.47663005034548,"(37.74113822615672, -122.47663005034548)"
2018/12/01 01:50:00 AM,2018/12/01,01:50,2018,Saturday,2018/12/01 01:54:00 AM,74340028150,743400,180906257,183350269,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,ULLOA ST \ 20TH AVE,23171000,Taraval,Sunset/Parkside,4,37.74113822615672,-122.47663005034548,"(37.74113822615672, -122.47663005034548)"
2018/12/01 12:01:00 AM,2018/12/01,00:01,2018,Saturday,2018/12/01 12:16:00 AM,74340306126,743403,180906291,183350043,II,Initial,,06126,Larceny Theft,Larceny Theft - Other,Theft of Computers or Cell Phones,Cite or Arrest Adult,20TH AVE \ WINSTON DR,33719000,Taraval,Lakeshore,7,37.72694991292525,-122.47603947349434,"(37.72694991292525, -122.47603947349434)"
2018/12/01 12:01:00 AM,2018/12/01,00:01,2018,Saturday,2018/12/01 12:16:00 AM,74340363010,743403,180906291,183350043,II,Initial,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,20TH AVE \ WINSTON DR,33719000,Taraval,Lakeshore,7,37.72694991292525,-122.47603947349434,"(37.72694991292525, -122.47603947349434)"
2018/12/01 12:30:00 AM,2018/12/01,00:30,2018,Saturday,2018/12/01 12:59:00 AM,74340415040,743404,180906241,183350164,II,Initial,,15040,Offences Against The Family And Children,Family Offenses,"Spouse, Cohabitee, Parent of Child in Common, Inflict Injury",Open or Active,OFARRELL ST \ HARLEM ALY,25143000,Tenderloin,Tenderloin,6,37.78553183240745,-122.4150200242163,"(37.78553183240745, -122.4150200242163)"
2018/12/01 01:50:00 AM,2018/12/01,01:50,2018,Saturday,2018/12/01 02:08:00 AM,74340528100,743405,180906263,183350297,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,VICENTE ST \ 20TH AVE,23168000,Taraval,Sunset/Parkside,4,37.73927734051436,-122.47648596963732,"(37.73927734051436, -122.47648596963732)"
2018/12/01 12:54:00 AM,2018/12/01,00:54,2018,Saturday,2018/12/01 01:05:00 AM,74340830210,743408,160265540,183350153,IS,Initial Supplement,,30210,Other Offenses,Other,Park Code Violation (general),Cite or Arrest Adult,CHAIN OF LAKES DR \ JOHN F KENNEDY DR,27827000,Richmond,Golden Gate Park,1,37.768156874565435,-122.50045983043844,"(37.768156874565435, -122.50045983043844)"
